Designator,Val,Package,MidX,MidY,Rotation,Layer
Q15,IRL540,TO220_GDS_BP,176.530000,-116.840000,0.000000,top
Q16,IRL540,TO220_GDS_BP,191.135000,-109.982000,0.000000,top
Q17,IRL540,TO220_GDS_BP,201.295000,-35.687000,0.000000,top
Q18,IRL540,TO220_GDS_BP,187.325000,-51.435000,0.000000,top
Q19,IRL540,TO220_GDS_BP,176.530000,-84.455000,0.000000,top
Q20,IRL540,TO220_GDS_BP,191.135000,-78.867000,0.000000,top
Q21,IRL540,TO220_GDS_BP,176.530000,-125.984000,0.000000,top
Q22,IRL540,TO220_GDS_BP,191.135000,-119.380000,0.000000,top
Q23,IRL540,TO220_GDS_BP,201.295000,-46.609000,0.000000,top
Q24,IRL540,TO220_GDS_BP,187.325000,-31.877000,0.000000,top
Q25,IRL540,TO220_GDS_BP,176.530000,-93.980000,0.000000,top
Q26,IRL540,TO220_GDS_BP,191.135000,-87.503000,0.000000,top
Q27,IRL540,TO220_GDS_BP,176.530000,-134.112000,0.000000,top
Q28,IRL540,TO220_GDS_BP,191.135000,-129.413000,0.000000,top
Q29,IRL540,TO220_GDS_BP,187.325000,-59.055000,0.000000,top
Q30,IRL540,TO220_GDS_BP,201.295000,-55.245000,0.000000,top
Q31,IRL540,TO220_GDS_BP,176.530000,-101.600000,0.000000,top
Q32,IRL540,TO220_GDS_BP,191.135000,-96.520000,0.000000,top
Q33,IRL540,TO220_GDS_BP,176.530000,-141.986000,0.000000,top
Q34,IRL540,TO220_GDS_BP,191.135000,-141.986000,0.000000,top
Q35,IRL540,TO220_GDS_BP,187.325000,-40.005000,0.000000,top
Q36,IRL540,TO220_GDS_BP,201.295000,-27.051000,0.000000,top
R1,4.7K,R_1206,59.690000,-45.720000,180.000000,top
R2,1K,R_1206,58.420000,-50.165000,-90.000000,top
R3,4.7K,R_1206,63.500000,-48.895000,0.000000,top
R4,1K,R_1206,63.500000,-52.070000,180.000000,top
R5,4.7K,R_1206,50.165000,-45.720000,180.000000,top
R6,1K,R_1206,48.260000,-50.165000,-90.000000,top
R7,4.7K,R_1206,53.340000,-48.895000,0.000000,top
R8,1K,R_1206,53.340000,-52.070000,180.000000,top
R9,4.7K,R_1206,40.005000,-45.720000,180.000000,top
R10,1K,R_1206,38.735000,-50.165000,-90.000000,top
R11,4.7K,R_1206,43.180000,-48.895000,0.000000,top
R12,1K,R_1206,43.180000,-52.070000,180.000000,top
R13,4.7K,R_1206,30.480000,-45.720000,180.000000,top
R14,1K,R_1206,29.210000,-50.165000,-90.000000,top
R15,4.7K,R_1206,33.655000,-48.895000,0.000000,top
R16,1K,R_1206,33.655000,-52.070000,180.000000,top
R17,4.7K,R_1206,172.085000,-69.215000,90.000000,top
R18,4.7K,R_1206,171.450000,-55.880000,90.000000,top
R19,4.7K,R_1206,171.450000,-62.230000,90.000000,top
R20,10K,R_1206,154.305000,-106.680000,90.000000,top
R21,10K,R_1206,124.460000,-173.810000,90.000000,top
R22,10K,R_1206_3216Metric,155.575000,-159.385000,-90.000000,top
R65,27K,R_0603,177.165000,-221.615000,0.000000,top
R66,15K,R_0603,189.230000,-227.965000,90.000000,top
R67,27K,R_0603,188.595000,-220.345000,90.000000,top
R68,10K,R_0603,184.150000,-160.020000,0.000000,top
